seed,episode,stepaif1_action,aif2_action,aif1_reward,aif2_reward,aif1_q_pi,aif2_q_pi,aif1_G,aif2_G
0,0,0,4,3,-0.01,-0.01,"[0.0024737  0.0024737  0.0024737  0.0024737  0.02228971 0.00174917
 0.00174917 0.00174917 0.00174917 0.01576103 0.0024737  0.0024737
 0.0024737  0.0024737  0.02228971 0.00174917 0.00174917 0.00174917
 0.00174917 0.01576103 0.16389466 0.16389279 0.16389466 0.16389279
 0.23454067]","[0.00174917 0.00174917 0.00174917 0.00174917 0.01576103 0.0024737
 0.0024737  0.0024737  0.0024737  0.02228971 0.00174917 0.00174917
 0.00174917 0.00174917 0.01576103 0.0024737  0.0024737  0.0024737
 0.0024737  0.02228971 0.16389279 0.16389466 0.16389279 0.16389466
 0.23454067]","[-19.43057984 -19.43057984 -19.43057985 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057985 -19.43057984 -19.43057984 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -18.33151953 -18.33152238 -18.33151953 -18.33152238 -18.24202295]","[-19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057984 -19.43057984 -19.43057984 -19.43057985 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057984 -19.43057985 -19.43057984 -19.43057984 -18.88097765
 -18.33152238 -18.33151953 -18.33152238 -18.33151953 -18.24202295]"
0,0,1,0,1,-0.01,-0.01,"[0.00555682 0.00555638 0.00555689 0.00555636 0.02647782 0.00392854
 0.0039289  0.00392886 0.00392853 0.01872001 0.00555689 0.00555636
 0.00555682 0.00555638 0.02647782 0.00392886 0.00392853 0.00392854
 0.0039289  0.01872001 0.16480385 0.16476061 0.16480385 0.16476061
 0.17459282]","[0.00174859 0.00174861 0.00174861 0.0017486  0.01577348 0.00247293
 0.0024729  0.00247293 0.00247289 0.02230797 0.00174861 0.0017486
 0.0017486  0.00174861 0.01577353 0.00247291 0.00247288 0.00247292
 0.00247292 0.02230787 0.16390503 0.1639103  0.1639047  0.16391115
 0.23443388]","[-19.01296045 -19.0129794  -19.01295737 -19.01297949 -18.61818583
 -19.01300121 -19.01297994 -19.01298287 -19.0130014  -18.61821375
 -19.01295737 -19.01297949 -19.01296045 -19.0129794  -18.61818583
 -19.01298287 -19.0130014  -19.01300121 -19.01297994 -18.61821375
 -18.09669733 -18.0967564  -18.09669733 -18.0967564  -18.08124683]","[-19.43057147 -19.43057069 -19.43057068 -19.43057113 -18.88069756
 -19.43057003 -19.43057086 -19.43057002 -19.43057097 -18.88068949
 -19.43057082 -19.43057128 -19.43057088 -19.43057113 -18.88069754
 -19.43057039 -19.43057132 -19.43057031 -19.4305703  -18.88068945
 -18.33145035 -18.33144111 -18.33145124 -18.33143991 -18.24206535]"
0,0,2,2,3,-0.01,-0.01,"[0.00247271 0.00247271 0.00247266 0.0024727  0.02230385 0.00174846
 0.00174845 0.00174844 0.00174846 0.0157709  0.00247268 0.00247273
 0.00247269 0.00247273 0.02230405 0.00174844 0.00174845 0.00174845
 0.00174842 0.01577086 0.16398555 0.16398089 0.16398466 0.1639813
 0.23414875]","[0.00174848 0.00174849 0.00174849 0.00174818 0.01577415 0.00247276
 0.00247276 0.00247276 0.00247227 0.02230874 0.0017484  0.00174839
 0.00174815 0.0017484  0.01577348 0.00247239 0.00247233 0.00247239
 0.00247233 0.02230546 0.1639351  0.16393863 0.16393534 0.1639096
 0.23435251]","[-19.43044808 -19.43044818 -19.43044969 -19.43044836 -18.88052062
 -19.4304492  -19.43044933 -19.43044987 -19.43044934 -18.88052547
 -19.43044894 -19.43044772 -19.4304488  -19.43044774 -18.88051983
 -19.43044981 -19.43044944 -19.43044945 -19.43045047 -18.88052472
 -18.33117173 -18.33118078 -18.33117262 -18.33117947 -18.24211864]","[-19.43052587 -19.4305258  -19.43052532 -19.43054511 -18.88060939
 -19.43052391 -19.43052384 -19.43052344 -19.43054543 -18.88060193
 -19.43053116 -19.43053166 -19.43054608 -19.43053118 -18.88061316
 -19.4305397  -19.43054164 -19.43053971 -19.4305417  -18.88061718
 -18.3313523  -18.33134478 -18.33135186 -18.33136595 -18.24206935]"
0,0,3,1,0,-0.01,-0.01,"[0.00247273 0.00247281 0.00247273 0.00247281 0.02229631 0.00174877
 0.0017484  0.00174875 0.00174877 0.01576785 0.00247264 0.00247337
 0.00247337 0.00247336 0.0223013  0.00174844 0.0017489  0.0017489
 0.00174889 0.01576901 0.16399244 0.16403377 0.16403537 0.16403339
 0.23399691]","[0.00174799 0.00174837 0.00174837 0.00174834 0.01577192 0.00247224
 0.00247214 0.00247224 0.00247213 0.02230214 0.0017485  0.00174803
 0.00174848 0.0017485  0.01577308 0.00247279 0.00247204 0.00247278
 0.00247279 0.02230706 0.16397553 0.16393359 0.16397522 0.16397612
 0.23421963]","[-19.43031316 -19.43031068 -19.43031298 -19.43031065 -18.88042236
 -19.43029798 -19.4303213  -19.43029814 -19.43029797 -18.88041132
 -19.4303195  -19.43028475 -19.43028527 -19.4302855  -18.88039724
 -19.43031992 -19.43028853 -19.4302893  -19.43028882 -18.88040261
 -18.33098494 -18.33095762 -18.33095259 -18.33095834 -18.24208632]","[-19.43047921 -19.43045494 -19.43045493 -19.43045599 -18.88052023
 -19.43046805 -19.4304713  -19.43046802 -19.43047158 -18.88053049
 -19.43044553 -19.4304777  -19.43044653 -19.43044628 -18.88051154
 -19.43044221 -19.4304781  -19.43044293 -19.43044279 -18.88050563
 -18.33119989 -18.3312275  -18.33120058 -18.33119529 -18.2420739 ]"
0,0,4,2,3,-0.01,-0.01,"[0.00245084 0.00245136 0.0024505  0.00245137 0.02209218 0.00245084
 0.00245085 0.00244986 0.00245085 0.02208752 0.00245043 0.00244995
 0.00245034 0.00245042 0.02208376 0.00173299 0.00173274 0.00173299
 0.00173251 0.01561803 0.16254699 0.16252322 0.16249023 0.16254588
 0.23167336]","[0.00245022 0.00245021 0.00245027 0.00244791 0.02209603 0.00245068
 0.00245018 0.00245073 0.00244859 0.02210023 0.00173201 0.00173225
 0.00173114 0.00173225 0.01562141 0.00244815 0.00244867 0.00244866
 0.00244856 0.0220821  0.1624854  0.16250744 0.16250914 0.16236915
 0.23190861]","[-19.42179448 -19.42177173 -19.42181366 -19.42177086 -18.87195028
 -19.421791   -19.42179066 -19.42183997 -19.42178984 -18.87196876
 -19.42181232 -19.42183325 -19.42181501 -19.42181257 -18.8719903
 -19.42179741 -19.42181238 -19.42179769 -19.42182879 -18.87197631
 -18.32241681 -18.32243077 -18.3224579  -18.32241811 -18.23371767]","[-19.4219018  -19.42190214 -19.42189771 -19.42203165 -18.87199591
 -19.42188677 -19.42190798 -19.42188342 -19.42200347 -18.87198197
 -19.42195008 -19.42193642 -19.42202035 -19.4219367  -18.87203146
 -19.42200805 -19.42198535 -19.42198548 -19.4219889  -18.87207916
 -18.32260451 -18.32259251 -18.32259148 -18.32270867 -18.23364392]"
0,0,5,3,3,-0.01,-0.01,"[6.65758069e-05 6.72092668e-05 6.66362334e-05 6.72127660e-05
 6.03737745e-04 1.18442877e-03 2.14144716e-04 1.17339095e-03
 1.18447889e-03 1.06568062e-02 4.86185592e-04 2.99317355e-03
 3.00118662e-03 3.00136261e-03 2.69700988e-02 3.47074683e-04
 2.14461883e-03 2.14634925e-03 2.13306101e-03 1.92886674e-02
 3.26124149e-02 2.01485106e-01 1.99961119e-01 2.01688725e-01
 2.86456235e-01]","[2.14113391e-04 1.18588499e-03 1.18593788e-03 1.17396396e-03
 1.06782391e-02 6.69464244e-05 6.62928448e-05 6.69500882e-05
 6.63360767e-05 6.01679522e-04 2.14286821e-03 3.46711809e-04
 2.13091492e-03 2.14506497e-03 1.92886169e-02 2.98874446e-03
 4.85419607e-04 2.99789285e-03 2.99771761e-03 2.69554031e-02
 2.01432430e-01 3.25943983e-02 2.01683179e-01 1.99840663e-01
 2.86663630e-01]","[-17.79082041 -17.78914669 -17.79061845 -17.78913929 -17.23985522
 -17.14873203 -17.57007601 -17.15028745 -17.14872621 -16.59913784
 -17.3890613  -16.93761174 -16.93713901 -16.93712745 -16.38778963
 -17.38696882 -16.93473264 -16.93463151 -16.9356167  -16.38528206
 -16.28692279 -15.83473289 -15.83600991 -15.83460347 -15.7466099 ]","[-17.56846244 -17.14674812 -17.14674194 -17.14844417 -16.59702024
 -17.78865905 -17.79039892 -17.78865121 -17.79024564 -17.23928102
 -16.93334186 -17.38567517 -16.93425357 -16.93319652 -16.38375141
 -16.93636046 -17.38787842 -16.93580889 -16.93582034 -16.38637066
 -15.83325893 -16.2855536  -15.83308238 -15.8345939  -15.74493697]"
0,0,6,2,3,-0.01,-0.01,"[0.00228976 0.00229769 0.00229761 0.00224138 0.02061206 0.00309201
 0.00216936 0.00309232 0.00305375 0.02772473 0.00198502 0.00254532
 0.00252758 0.00256148 0.02296981 0.00194389 0.00254931 0.0025727
 0.00257311 0.02307177 0.12962469 0.16616955 0.16721507 0.16590314
 0.23691691]","[0.00217071 0.00309961 0.00309969 0.00309495 0.0277933  0.00231268
 0.00230173 0.00231274 0.00230115 0.02074947 0.00178939 0.00139488
 0.00180387 0.00180163 0.01615501 0.00255253 0.001978   0.0025773
 0.00257774 0.02311406 0.16758994 0.1306813  0.16875734 0.16885449
 0.23913647]","[-19.28929902 -19.28877227 -19.28877835 -19.29362062 -18.73973677
 -19.21678314 -19.30013174 -19.2167597  -19.21879818 -18.6678519
 -19.31541339 -19.25750563 -19.25858977 -19.25635557 -18.70740131
 -19.3197323  -19.25642062 -19.25471192 -19.25467958 -18.70574293
 -18.21882828 -18.16097328 -18.15982171 -18.16096608 -18.0723332 ]","[-17.5987034  -17.51485435 -17.51485109 -17.51483382 -16.96592294
 -17.58613066 -17.58691378 -17.58612715 -17.58694885 -17.03706717
 -17.55714458 -17.61525117 -17.55543552 -17.55588301 -17.00694565
 -17.5551448  -17.61473347 -17.55333962 -17.55330531 -17.00436495
 -16.45774188 -16.51577633 -16.45646357 -16.45609949 -16.36894334]"
0,0,7,4,4,-0.01,-0.01,"[0.00234067 0.00235842 0.00233373 0.00235852 0.0211773  0.0026612
 0.00229403 0.00264161 0.00266133 0.02389236 0.00224463 0.00248828
 0.00251456 0.00251431 0.02257483 0.0015901  0.00175269 0.00176464
 0.00176072 0.01584313 0.14939107 0.16465272 0.16514353 0.16581846
 0.23522719]","[0.00241779 0.00249435 0.00249437 0.00249104 0.02240085 0.0024319
 0.00242765 0.00243192 0.00242724 0.02184101 0.00174173 0.00170703
 0.00174377 0.00174434 0.0156653  0.00246401 0.00241272 0.00246978
 0.00246986 0.02218054 0.1631377  0.15988787 0.16338848 0.16328231
 0.23184644]","[-19.4056993  -19.40438921 -19.40626647 -19.40438249 -18.85517263
 -19.37937184 -19.41279282 -19.38050728 -19.37936488 -18.83018788
 -19.41717971 -19.39397352 -19.39207006 -19.39208797 -18.84289153
 -19.417109   -19.39529163 -19.39410378 -19.39431628 -18.84491961
 -18.31713655 -18.29533957 -18.29464354 -18.2941094  -18.20636016]","[-19.32490238 -19.31860025 -19.31859903 -19.3187468  -18.76936026
 -19.32337698 -19.32363093 -19.32337576 -19.32365444 -18.77412919
 -19.32120769 -19.32524238 -19.32099604 -19.3209899  -18.77175118
 -19.32102958 -19.32527668 -19.32067409 -19.32066914 -18.77143105
 -18.22183483 -18.22587034 -18.22161439 -18.22166256 -18.13380785]"
0,0,8,1,3,0.2,-0.01,"[0.00547859 0.00548814 0.00537352 0.00548887 0.02611357 0.00556116
 0.00547005 0.00545761 0.00556174 0.02646105 0.00538254 0.00545217
 0.00545521 0.00546654 0.02601104 0.00383166 0.00386993 0.00387494
 0.00382403 0.01843774 0.16172546 0.16337298 0.16086153 0.16360996
 0.17236998]","[0.00548361 0.00551306 0.00551385 0.00547137 0.02623331 0.0054884
 0.00548532 0.00548915 0.00544021 0.02611597 0.0038758  0.0038634
 0.003857   0.00387741 0.0184502  0.00546918 0.00544392 0.00547423
 0.00547084 0.02604869 0.16292018 0.16238132 0.16300781 0.16188256
 0.17174321]","[-19.00448824 -19.00426594 -19.0083396  -19.00419815 -18.6095971
 -19.00195919 -19.00505126 -19.00552272 -19.00189395 -18.60729029
 -19.00787688 -19.00537647 -19.00526649 -19.00498379 -18.61031298
 -19.00692704 -19.00504742 -19.00488735 -19.00730593 -18.61021757
 -18.08911711 -18.08720627 -18.09022998 -18.08698751 -18.07287942]","[-19.00207353 -19.00118707 -19.00114607 -19.00250343 -18.60650933
 -19.00188027 -19.00193704 -19.00184194 -19.00344561 -18.60720272
 -19.00221104 -19.00274794 -19.00304887 -19.00217029 -18.60749332
 -19.00243393 -19.00324674 -19.00231474 -19.00238336 -18.60763582
 -18.08519735 -18.0857514  -18.0851269  -18.08633735 -18.07098228]"
0,0,9,4,4,0.5,-0.01,"[0.00175504 0.00175848 0.0017531  0.00175838 0.01574226 0.00248539
 0.00248543 0.00247466 0.00248518 0.02224969 0.00248579 0.00247577
 0.00248331 0.00248575 0.02225288 0.00175828 0.00175344 0.00175826
 0.0017534  0.01574025 0.16458459 0.16411915 0.16406779 0.16456938
 0.23276436]","[0.00246131 0.0024657  0.00246571 0.0024645  0.02207368 0.00246272
 0.00246154 0.00246273 0.00246146 0.02204727 0.00174192 0.00174036
 0.0017422  0.00174251 0.01559981 0.00246311 0.00246076 0.00246447
 0.0024645  0.02206278 0.16284363 0.16269798 0.16290073 0.16285486
 0.23039378]","[-19.42710668 -19.4268189  -19.42730474 -19.42681826 -18.87815081
 -19.42681145 -19.42680946 -19.42752296 -19.42681466 -18.87814377
 -19.42680126 -19.42745293 -19.42693042 -19.42680332 -18.87813563
 -19.4268136  -19.42724123 -19.4268152  -19.42723742 -18.8781476
 -18.32740935 -18.32784557 -18.32790539 -18.32741274 -18.24031938]","[-19.0149023  -19.01463821 -19.0146379  -19.01469355 -18.46596976
 -19.01481627 -19.01487357 -19.01481596 -19.01487706 -18.46614516
 -19.01478176 -19.01491745 -19.01475706 -19.01474335 -18.46606968
 -19.01478011 -19.01492982 -19.0147121  -19.01471071 -18.46604253
 -17.91557543 -17.91571211 -17.91553636 -17.91556392 -17.82843773]"
