seed,episode,step,aif_action,rand_action,aif_reward,rand_reward,q_pi,G
0,0,0,4,1,-0.01,-0.01,"[0.0024737  0.0024737  0.0024737  0.0024737  0.02228971 0.00174917
 0.00174917 0.00174917 0.00174917 0.01576103 0.0024737  0.0024737
 0.0024737  0.0024737  0.02228971 0.00174917 0.00174917 0.00174917
 0.00174917 0.01576103 0.16389466 0.16389279 0.16389466 0.16389279
 0.23454067]","[-19.43057984 -19.43057984 -19.43057985 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057985 -19.43057984 -19.43057984 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -18.33151953 -18.33152238 -18.33151953 -18.33152238 -18.24202295]"
0,0,1,4,4,-0.01,-0.01,"[0.00555682 0.00555638 0.00555689 0.00555636 0.02647782 0.00392854
 0.0039289  0.00392886 0.00392853 0.01872001 0.00555689 0.00555636
 0.00555682 0.00555638 0.02647782 0.00392886 0.00392853 0.00392854
 0.0039289  0.01872001 0.16480385 0.16476061 0.16480385 0.16476061
 0.17459282]","[-19.01296045 -19.0129794  -19.01295737 -19.01297949 -18.61818583
 -19.01300121 -19.01297994 -19.01298287 -19.0130014  -18.61821375
 -19.01295737 -19.01297949 -19.01296045 -19.0129794  -18.61818583
 -19.01298287 -19.0130014  -19.01300121 -19.01297994 -18.61821375
 -18.09669733 -18.0967564  -18.09669733 -18.0967564  -18.08124683]"
0,0,2,1,0,-0.01,-0.01,"[0.00555236 0.0055521  0.00555236 0.00555208 0.02648245 0.00392561
 0.0039258  0.00392576 0.00392559 0.018724   0.00555236 0.00555208
 0.00555236 0.0055521  0.02648245 0.00392576 0.00392559 0.00392561
 0.0039258  0.018724   0.16486839 0.16483976 0.16486839 0.16483976
 0.17434749]","[-19.01273415 -19.01274633 -19.01273356 -19.01274651 -18.61769145
 -19.01276157 -19.01274903 -19.01275164 -19.01276182 -18.61771063
 -19.01273356 -19.01274651 -19.01273415 -19.01274633 -18.61769145
 -19.01275164 -19.01276182 -19.01276157 -19.01274903 -18.61771063
 -18.09609584 -18.09613618 -18.09609584 -18.09613618 -18.0810714 ]"
0,0,3,1,0,0.2,0.2,"[0.0024528  0.00245285 0.00245282 0.00245283 0.02207922 0.00245275
 0.00245276 0.0024527  0.00245274 0.02207836 0.0024528  0.00245273
 0.00245277 0.00245279 0.02207868 0.00173434 0.00173432 0.00173433
 0.00173432 0.01561156 0.16261051 0.16260949 0.16260954 0.16260815
 0.23134382]","[-19.42385965 -19.42385863 -19.42385887 -19.42385891 -18.87422004
 -19.42386052 -19.42386011 -19.42386162 -19.42386077 -18.87422152
 -19.42385916 -19.42386088 -19.42385954 -19.42385962 -18.87422067
 -19.42386232 -19.42386282 -19.42386271 -19.4238628  -18.87422414
 -18.32444848 -18.32444618 -18.32444658 -18.32445094 -18.23611903]"
0,0,4,2,0,0.2,0.2,"[0.0013006  0.00435053 0.00431246 0.00434666 0.03904128 0.00059879
 0.00059881 0.00059317 0.00059831 0.00536749 0.00275684 0.00105682
 0.0027408  0.00276127 0.02481026 0.00195205 0.00074762 0.00195477
 0.00193665 0.01756726 0.18351142 0.07018698 0.18231031 0.18362829
 0.26097055]","[-19.05606993 -18.76706828 -18.76847522 -18.76718812 -18.21791331
 -19.17111149 -19.17110675 -19.17274559 -19.17122503 -18.62216222
 -18.91951141 -19.14618973 -18.92031337 -18.9191848  -18.36978622
 -18.91931516 -19.14617714 -18.91903223 -18.92047166 -18.36959865
 -17.81908487 -18.04622936 -17.82004896 -17.81889859 -17.73081719]"
0,0,5,0,0,-0.01,0.2,"[0.0002847  0.00082007 0.00081483 0.00082012 0.00727926 0.00580619
 0.00133038 0.00569483 0.00580667 0.05160809 0.0025112  0.00234847
 0.00256545 0.00256456 0.02277646 0.00171678 0.00161713 0.00174567
 0.00173912 0.01549922 0.16022715 0.15087493 0.16164309 0.16294062
 0.22896502]","[-18.41708657 -18.15673439 -18.15738645 -18.15672336 -17.60982184
 -17.70787606 -18.07516397 -17.7113107  -17.70786352 -17.1607229
 -17.94424577 -17.9596072  -17.9401709  -17.94024714 -17.39324244
 -17.95368677 -17.96741123 -17.95065417 -17.95084637 -17.4037176
 -16.85471487 -16.86850469 -16.85264972 -16.85167291 -16.7659882 ]"
0,0,6,3,1,-0.01,-0.01,"[0.00239332 0.00239324 0.00235921 0.00239218 0.02139068 0.00262586
 0.00235635 0.00260596 0.00262449 0.02346539 0.00230455 0.00250839
 0.00250271 0.00250871 0.02241966 0.00163408 0.00176118 0.00176134
 0.00174982 0.01574023 0.15317392 0.16512498 0.16392027 0.16507102
 0.23321247]","[-19.39021654 -19.39022099 -19.39288616 -19.39026984 -18.84186556
 -19.37122691 -19.39504938 -19.37243746 -19.37128006 -18.82291036
 -19.39912041 -19.38080987 -19.3810589  -19.38078504 -18.83245598
 -19.39876064 -19.38261532 -19.38259707 -19.38360881 -18.83427327
 -18.2990472  -18.28287564 -18.28406776 -18.28289796 -18.19606259]"
0,0,7,1,2,-0.01,-0.01,"[0.00204782 0.00327676 0.00327712 0.00318051 0.02941965 0.00242094
 0.00211866 0.00242097 0.00234376 0.02172985 0.00239158 0.00187118
 0.00258995 0.00264831 0.02377457 0.00236824 0.00183716 0.00267094
 0.00267164 0.02397772 0.15512515 0.12129628 0.17168401 0.16940459
 0.24345261]","[-18.2874521  -18.17545623 -18.17542933 -18.18104542 -17.62625223
 -18.25455648 -18.28434256 -18.25455182 -18.26084072 -17.70541376
 -18.24192526 -18.30122962 -18.2235017  -18.21959202 -17.67041284
 -18.24332954 -18.30483542 -18.21678963 -18.21673634 -17.6676103
 -17.14685693 -17.20630067 -17.12461839 -17.12670094 -17.03695729]"
0,0,8,2,4,0.2,-0.01,"[0.00160978 0.00172727 0.00100765 0.00164651 0.01550889 0.00285693
 0.00285772 0.00145855 0.00265047 0.02565058 0.00207053 0.00168122
 0.00195415 0.00206932 0.01858006 0.004623   0.00393998 0.00462016
 0.00227529 0.04148041 0.17708483 0.15977845 0.10337289 0.16840612
 0.25108924]","[-17.12090919 -17.10586759 -17.23493343 -17.11579142 -16.55666266
 -17.06973712 -17.06967937 -17.23152808 -17.08578427 -16.52054735
 -17.15864888 -17.20601845 -17.17069007 -17.15876463 -16.60956319
 -16.96689516 -17.00291479 -16.9670186  -17.13847514 -16.41783498
 -15.98609135 -16.00868115 -16.11492647 -15.99650863 -15.89844023]"
0,0,9,3,4,-0.01,-0.01,"[0.00157826 0.0017153  0.00169676 0.00171541 0.01541135 0.00245178
 0.0023455  0.00240187 0.002452   0.02202838 0.00251717 0.00229975
 0.0025313  0.00253103 0.02274038 0.0017639  0.00162838 0.00177156
 0.00175886 0.01591682 0.16658181 0.15376509 0.16546638 0.16736098
 0.23757001]","[-19.29786635 -19.28003065 -19.28191975 -19.28002012 -18.73071044
 -19.27712915 -19.28627998 -19.28100495 -19.27711449 -18.72780905
 -19.27150132 -19.29132564 -19.27043243 -19.27045222 -18.72113233
 -19.27418915 -19.29169667 -19.27341675 -19.27454067 -18.72409609
 -18.17319303 -18.19071994 -18.1742949  -18.17236365 -18.08448213]"
0,0,10,1,2,-0.01,-0.01,"[0.00170939 0.00173754 0.00173744 0.00165772 0.01561847 0.00248226
 0.00245497 0.00248204 0.00233725 0.02231317 0.0025617  0.00252476
 0.0023959  0.00256553 0.02306098 0.00240994 0.00235277 0.00241332
 0.00241342 0.02169259 0.16424382 0.16199709 0.16444383 0.15680461
 0.23358948]","[-19.40730406 -19.40433266 -19.40434326 -19.41408712 -18.85493261
 -19.40180622 -19.40376036 -19.40182317 -19.41440954 -18.8524002
 -19.3956252  -19.39834672 -19.40991444 -19.39541176 -18.84601282
 -19.40745171 -19.41221015 -19.40723363 -19.40722716 -18.85783689
 -18.30331602 -18.30589546 -18.30314707 -18.31297869 -18.21513025]"
0,0,11,4,3,-0.01,-0.01,"[0.00176751 0.00177411 0.00150376 0.00175089 0.01595231 0.00254536
 0.00254571 0.00212458 0.00249675 0.02288704 0.00235313 0.00231245
 0.00231767 0.00235296 0.02115706 0.00280952 0.00277393 0.00280931
 0.00222573 0.02526047 0.16735575 0.16622967 0.14180676 0.16510938
 0.2377782 ]","[-18.84934434 -18.84892705 -18.88638886 -18.85137591 -18.29946946
 -18.8452754  -18.84524981 -18.88626349 -18.84896647 -18.29581946
 -18.86509874 -18.86835593 -18.86792695 -18.86510999 -18.31565306
 -18.82393501 -18.82606639 -18.82394666 -18.87759152 -18.27448933
 -17.74824592 -17.74921872 -17.78575804 -17.75075009 -17.66017813]"
0,0,12,3,3,-0.01,-0.01,"[0.00384767 0.00387788 0.00381929 0.00386869 0.01846057 0.00549611
 0.00548085 0.00538835 0.00547364 0.02616451 0.0054656  0.00539752
 0.00545067 0.00546804 0.026031   0.00555968 0.00550099 0.00556241
 0.00544041 0.02647983 0.16340537 0.16200692 0.16095945 0.16306269
 0.17233189]","[-18.99139944 -18.99008288 -18.99294741 -18.9904284  -18.59532625
 -18.98944874 -18.989841   -18.99323466 -18.99009458 -18.59468865
 -18.99040953 -18.99273961 -18.99084079 -18.99036867 -18.59560745
 -18.98728964 -18.98920552 -18.98724367 -18.9915331  -18.59248634
 -18.07266819 -18.0742023  -18.07553221 -18.07299353 -18.05834534]"
0,0,13,3,4,-0.01,-0.01,"[0.00175354 0.0017573  0.00175732 0.00175141 0.01574271 0.0024864
 0.00248335 0.00248645 0.00247474 0.02227442 0.00175651 0.0017531
 0.00175252 0.00175671 0.01573713 0.00248184 0.00247412 0.00248225
 0.00248229 0.02223758 0.16451955 0.1641997  0.16454595 0.16398732
 0.23286578]","[-18.44320424 -18.44289389 -18.44289197 -18.44343098 -17.89409777
 -18.44276398 -18.44292825 -18.44276151 -18.44353722 -17.89396734
 -18.4429974  -18.44329613 -18.44335105 -18.44298965 -17.89419904
 -18.44303314 -18.44353615 -18.44301566 -18.44301388 -17.89421532
 -17.34349267 -17.34378732 -17.34347944 -17.34401499 -17.25624939]"
0,0,14,2,4,-0.01,-0.01,"[0.00174634 0.0017539  0.00175395 0.00174407 0.01573995 0.00248469
 0.00247724 0.00248477 0.002464   0.0222988  0.00175276 0.00174658
 0.00174623 0.00175332 0.01573479 0.00247677 0.00246207 0.00247777
 0.00247782 0.02223641 0.16454944 0.16396101 0.16461629 0.16366805
 0.23339296]","[-19.28332875 -19.28264103 -19.2826374  -19.28359529 -18.73352643
 -19.28223952 -19.28269882 -19.28223473 -19.28370368 -18.73311801
 -19.28281204 -19.28339603 -19.28342976 -19.28277655 -18.73366056
 -19.2827347  -19.2837715  -19.28268225 -19.28267975 -18.73356468
 -18.18296604 -18.18355632 -18.18291904 -18.18388756 -18.09529645]"
0,0,15,4,0,-0.01,0.2,"[0.00174761 0.00174881 0.00166922 0.0017487  0.01570989 0.00248343
 0.00248194 0.00236062 0.00248324 0.02230922 0.00240091 0.0023938
 0.0024015  0.00240147 0.02157292 0.00254385 0.00254382 0.00254457
 0.00237856 0.02285829 0.16397452 0.16392005 0.15653382 0.16400242
 0.23278684]","[-19.40913836 -19.40913867 -19.41887902 -19.40914998 -18.85984425
 -19.40823925 -19.40824684 -19.41884391 -19.4082538  -18.8589445
 -19.41445875 -19.41493489 -19.41442897 -19.41443057 -18.86513537
 -19.4030759  -19.40296385 -19.40304289 -19.41748107 -18.85374955
 -18.30961437 -18.30958591 -18.31933883 -18.30959926 -18.22174179]"
