seed,episode,step,aif_action,stay_action,aif_reward,stay_reward,q_pi,G
0,0,0,4,1,-0.01,-0.01,"[0.0024737  0.0024737  0.0024737  0.0024737  0.02228971 0.00174917
 0.00174917 0.00174917 0.00174917 0.01576103 0.0024737  0.0024737
 0.0024737  0.0024737  0.02228971 0.00174917 0.00174917 0.00174917
 0.00174917 0.01576103 0.16389466 0.16389279 0.16389466 0.16389279
 0.23454067]","[-19.43057984 -19.43057984 -19.43057985 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057985 -19.43057984 -19.43057984 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -18.33151953 -18.33152238 -18.33151953 -18.33152238 -18.24202295]"
0,0,1,3,1,-0.01,-0.01,"[0.00555682 0.00555638 0.00555689 0.00555636 0.02647782 0.00392854
 0.0039289  0.00392886 0.00392853 0.01872001 0.00555689 0.00555636
 0.00555682 0.00555638 0.02647782 0.00392886 0.00392853 0.00392854
 0.0039289  0.01872001 0.16480385 0.16476061 0.16480385 0.16476061
 0.17459282]","[-19.01296045 -19.0129794  -19.01295737 -19.01297949 -18.61818583
 -19.01300121 -19.01297994 -19.01298287 -19.0130014  -18.61821375
 -19.01295737 -19.01297949 -19.01296045 -19.0129794  -18.61818583
 -19.01298287 -19.0130014  -19.01300121 -19.01297994 -18.61821375
 -18.09669733 -18.0967564  -18.09669733 -18.0967564  -18.08124683]"
0,0,2,0,1,-0.01,-0.01,"[0.0024496  0.00244962 0.00244963 0.00244957 0.02209561 0.00173211
 0.0017321  0.00173212 0.0017321  0.01562354 0.00244964 0.00244966
 0.00244962 0.00244966 0.02209573 0.00244955 0.00244959 0.0024496
 0.0024496  0.02209539 0.16245231 0.16244928 0.16245093 0.16245263
 0.2319608 ]","[-19.43044871 -19.43044814 -19.43044803 -19.43044958 -18.88052077
 -19.43044977 -19.43045036 -19.43044968 -19.4304503  -18.88052466
 -19.43044779 -19.43044746 -19.43044837 -19.43044729 -18.88052278
 -19.43045008 -19.430449   -19.43044885 -19.43044875 -18.88052113
 -18.33117347 -18.33117939 -18.33117758 -18.33117253 -18.24211897]"
0,0,3,1,1,-0.01,-0.01,"[0.00281479 0.00281489 0.00123842 0.00285007 0.02533885 0.00199522
 0.00198876 0.00087769 0.00201725 0.01796581 0.00077408 0.00077926
 0.00077435 0.00077923 0.00699118 0.00148658 0.00149036 0.00149031
 0.00079358 0.01343097 0.18626389 0.1871876  0.08214953 0.18920835
 0.26649899]","[-19.13771979 -19.13771203 -19.33020125 -19.13497233 -18.58801267
 -19.13752326 -19.13792971 -19.3300044  -19.13513145 -18.58777102
 -19.34137091 -19.34028526 -19.3413225  -19.34029119 -18.7911771
 -19.22537809 -19.22519544 -19.22520019 -19.37073573 -18.67529824
 -18.03832554 -18.03764361 -18.23059304 -18.03528227 -17.94914917]"
0,0,4,2,1,-0.01,-0.01,"[0.00267494 0.002721   0.00127824 0.00268485 0.0240495  0.00278698
 0.0027878  0.00126972 0.00273372 0.02464093 0.00140973 0.00137047
 0.00140086 0.00140978 0.01249536 0.00539841 0.00529703 0.00539759
 0.00203713 0.04772467 0.17503652 0.1733544  0.08226516 0.17271801
 0.24505719]","[-19.07327658 -19.07045153 -19.25428099 -19.0731386  -18.5244324
 -19.06409615 -19.06403326 -19.2554004  -19.06802428 -18.51800221
 -19.21975637 -19.22532404 -19.22081222 -19.21975029 -18.67306725
 -18.91254126 -18.91577359 -18.91257794 -19.15188939 -18.36650771
 -17.97642055 -17.9777489  -18.16010232 -17.97911733 -17.89154753]"
0,0,5,3,1,-0.01,-0.01,"[0.00149114 0.0015486  0.00149404 0.00154885 0.01382492 0.00508926
 0.00202093 0.00491476 0.00509001 0.04540299 0.0013241  0.00263532
 0.00277936 0.00277849 0.02478771 0.00091841 0.00181064 0.0018775
 0.00185882 0.01674822 0.08686704 0.17101979 0.17443378 0.17747156
 0.25026379]","[-19.23459041 -19.22690871 -19.23407892 -19.22688103 -18.6787847
 -18.95289889 -19.17906918 -18.95960073 -18.95287394 -18.40494215
 -19.26945147 -19.10076589 -19.08958501 -19.08965132 -18.54168561
 -19.2740211  -19.10802752 -19.10056192 -19.10201304 -18.55261643
 -18.17217078 -18.00651092 -18.00181796 -17.99890625 -17.91242488]"
0,0,6,1,1,-0.01,-0.01,"[0.002388   0.00241304 0.00241263 0.0021672  0.02165278 0.00268868
 0.00237271 0.00268829 0.00249551 0.02412235 0.00241754 0.0026252
 0.00243643 0.00265195 0.02379386 0.00212962 0.00240587 0.00244672
 0.00244698 0.02195193 0.1511017  0.16355432 0.16509369 0.15549509
 0.23404794]","[-19.38813734 -19.38634108 -19.38637383 -19.40972205 -18.83724598
 -19.36338033 -19.39098616 -19.36340676 -19.37910148 -18.81431748
 -19.38720668 -19.36893152 -19.38529745 -19.36719133 -18.81811864
 -19.41367886 -19.38604543 -19.38287484 -19.38285517 -18.83380747
 -18.30052367 -18.28300042 -18.28138801 -18.29386894 -18.19378282]"
0,0,7,0,1,-0.01,-0.01,"[0.00167963 0.0017391  0.00148418 0.00171135 0.01560645 0.0025388
 0.00253917 0.0020592  0.00246878 0.0227825  0.00240697 0.0021933
 0.0023601  0.00240632 0.02159472 0.00287844 0.00268357 0.00287756
 0.00229926 0.02582186 0.16874098 0.16034297 0.1437252  0.16586612
 0.23919348]","[-19.37418139 -19.36730488 -19.4029911  -19.37029752 -18.81820037
 -19.35850775 -19.35847984 -19.40616123 -19.3640238  -18.80940856
 -19.37311828 -19.39315402 -19.37680764 -19.37316844 -18.82405775
 -19.33204016 -19.34672331 -19.33209697 -19.38348996 -18.78300192
 -18.26023546 -18.2706813  -18.2963211  -18.26342909 -18.1726396 ]"
0,0,8,2,1,-0.01,-0.01,"[0.00233748 0.00233727 0.00215026 0.00228385 0.02099493 0.0028377
 0.0023391  0.0027339  0.00280566 0.02548994 0.00207195 0.0025426
 0.00250754 0.00254344 0.02284686 0.00224046 0.00261808 0.00261904
 0.00251175 0.02352574 0.1440637  0.16515263 0.16044534 0.16353131
 0.23446946]","[-19.38290616 -19.38292184 -19.40087766 -19.38739708 -18.83364054
 -19.34044621 -19.38426842 -19.34810059 -19.34233482 -18.79116713
 -19.40976926 -19.36348582 -19.3659272  -19.36341968 -18.81413917
 -19.39226908 -19.35753989 -19.35746685 -19.36607725 -18.80818794
 -18.30006189 -18.26967202 -18.2754156  -18.27129717 -18.18176588]"
0,0,9,3,1,-0.01,-0.01,"[0.00231183 0.00258456 0.00255444 0.0025847  0.02323072 0.00241327
 0.00235033 0.00238385 0.00241341 0.02169092 0.00243967 0.00229687
 0.00250497 0.00250474 0.02251311 0.00172391 0.0016256  0.00175839
 0.00175185 0.01580486 0.1622733  0.15302335 0.16454437 0.16556952
 0.23514746]","[-19.41935052 -19.39468903 -19.39670621 -19.39468046 -18.84529803
 -19.40951933 -19.4147373  -19.41170842 -19.40951054 -18.86012998
 -19.40706039 -19.42069973 -19.40188165 -19.40189838 -18.85250893
 -19.4077436  -19.42093793 -19.40393504 -19.40442664 -18.85454477
 -18.30746161 -18.32065082 -18.30454442 -18.30360433 -18.21561682]"
