seed,episode,stepaif1_action,aif2_action,aif1_reward,aif2_reward
0,0,0,4,3,-0.01,-0.01
0,0,1,0,1,-0.01,-0.01
0,0,2,2,3,-0.01,-0.01
0,0,3,1,0,-0.01,-0.01
0,0,4,2,3,-0.01,-0.01
0,0,5,3,3,-0.01,-0.01
0,0,6,2,3,-0.01,-0.01
0,0,7,4,4,-0.01,-0.01
0,0,8,1,3,0.2,-0.01
0,0,9,4,4,0.5,-0.01
0,0,10,1,1,0.2,-0.01
0,0,11,1,1,0.2,-0.01
0,0,12,4,4,-0.01,-0.01
0,0,13,4,3,-0.01,-0.01
0,0,14,0,3,-0.01,-0.01
0,0,15,4,0,-0.01,-0.01
0,0,16,3,0,-0.01,0.2
0,0,17,3,1,-0.01,0.2
0,0,18,1,2,-0.01,-0.01
0,0,19,1,1,-0.01,-0.01
0,0,20,3,4,-0.01,-0.01
0,0,21,3,3,-0.01,-0.01
0,0,22,3,1,-0.01,-0.01
0,0,23,2,0,-0.01,0.2
0,0,24,2,1,0.2,-0.01
0,0,25,1,3,0.2,-0.01
0,0,26,4,2,-0.01,-0.01
0,0,27,0,0,-0.01,-0.01
0,0,28,0,2,-0.01,-0.01
0,0,29,4,1,-0.01,-0.01
0,0,30,2,3,-0.01,-0.01
0,0,31,2,3,-0.01,-0.01
0,0,32,4,0,-0.01,0.2
0,0,33,4,3,-0.01,0.2
0,0,34,4,3,-0.01,0.2
0,0,35,0,4,1.0,1.0
0,1,0,3,0,-0.01,-0.01
0,1,1,1,1,-0.01,-0.01
0,1,2,1,2,-0.01,-0.01
0,1,3,4,4,-0.01,-0.01
0,1,4,3,3,-0.01,-0.01
0,1,5,4,2,-0.01,-0.01
0,1,6,2,3,0.2,-0.01
0,1,7,4,0,0.5,-0.01
0,1,8,1,4,0.2,-0.01
0,1,9,0,0,-0.01,0.2
0,1,10,1,1,0.2,-0.01
0,1,11,0,2,-0.01,-0.01
0,1,12,1,4,0.2,-0.01
