episode,step,action,reward,total_reward
0,0,5,-0.01,-0.01
0,1,1,-0.01,-0.02
0,2,4,-0.01,-0.03
0,3,1,2.0,1.97
0,4,1,2.0,3.9699999999999998
0,5,1,2.0,5.97
0,6,0,-0.01,5.96
0,7,0,-0.01,5.95
0,8,4,-0.01,5.94
0,9,5,-0.01,5.930000000000001
0,10,3,-0.01,5.920000000000001
0,11,0,-0.01,5.910000000000001
0,12,4,-0.01,5.900000000000001
0,13,3,2.0,7.900000000000001
0,14,3,2.0,9.900000000000002
0,15,3,2.0,11.900000000000002
0,16,4,-10.0,1.9000000000000021
1,0,1,-0.01,-0.01
1,1,3,-0.01,-0.02
1,2,0,-0.01,-0.03
1,3,0,-0.01,-0.04
1,4,2,-0.01,-0.05
1,5,3,-0.01,-0.060000000000000005
1,6,1,-0.01,-0.07
1,7,4,-0.01,-0.08
1,8,1,-0.01,-0.09
1,9,2,2.0,1.91
1,10,1,2.0,3.91
1,11,2,2.0,5.91
1,12,3,-0.01,5.9
1,13,1,-0.01,5.890000000000001
1,14,2,2.0,7.890000000000001
1,15,3,-0.01,7.880000000000001
1,16,4,-0.01,7.870000000000001
1,17,0,-0.01,7.860000000000001
1,18,4,-0.01,7.850000000000001
1,19,3,-0.01,7.840000000000002
1,20,3,-0.01,7.830000000000002
1,21,2,-0.01,7.820000000000002
1,22,0,-0.01,7.810000000000002
1,23,2,-0.01,7.8000000000000025
1,24,4,-0.01,7.790000000000003
1,25,5,-0.01,7.780000000000003
1,26,1,-0.01,7.770000000000003
1,27,2,-0.01,7.760000000000003
1,28,5,-0.01,7.7500000000000036
1,29,2,-0.01,7.740000000000004
1,30,2,-0.01,7.730000000000004
1,31,4,-0.01,7.720000000000004
1,32,1,2.0,9.720000000000004
1,33,4,5.0,14.720000000000004
1,34,4,-0.01,14.710000000000004
1,35,4,-0.01,14.700000000000005
1,36,5,2.0,16.700000000000003
1,37,3,-0.01,16.69
1,38,0,-0.01,16.68
1,39,3,-0.01,16.669999999999998
1,40,2,-0.01,16.659999999999997
1,41,5,-0.01,16.649999999999995
1,42,2,-0.01,16.639999999999993
1,43,4,-0.01,16.629999999999992
1,44,4,-0.01,16.61999999999999
1,45,2,-0.01,16.60999999999999
1,46,0,-0.01,16.599999999999987
1,47,1,-0.01,16.589999999999986
1,48,2,-0.01,16.579999999999984
